Año,RBD,Colegio,Comuna,Nivel,Region,IVE,Rural,MATRICULA_BASICA_MEDIA,Dependencia,GSE,Autoestima académica y motivación escolar,Clima de convivencia escolar,Participación y formación ciudadana,Hábitos de vida saludables,Simce Lenguaje,Len Nivel Insuficiente,Len Nivel Elemental,Len Nivel Adecuado,Simce Matemática,Mat Nivel Insuficiente,Mat Nivel Elemental,Mat Nivel Adecuado,Autopercepción y autovaloración académica,Motivación escolar,Sentido de pertenencia,Vida democrática,Hábitos de autocuidado,Hábitos alimenticios,Hábitos de vida activa,Ambiente de respeto,Ambiente organizado,Ambiente seguro,Participación
2023,15767,COLEGIO DIEGO PORTALES,Machalí,4 básico,Región del Libertador Gral. Bernardo O’Higgins,0.835195530726257,Urbano,595,Part. subvencionado,Medio bajo,78.0,78.0,79.0,72.0,274.0,30.8,25.6,43.6,251.0,47.5,30,22.5,76,81,79,80,72,81,64,70,88,77,77
2023,15767,COLEGIO DIEGO PORTALES,Machalí,II medio,Región del Libertador Gral. Bernardo O’Higgins,0.902857142857143,Urbano,595,Part. subvencionado,Medio bajo,76.0,75.0,82.0,77.0,245.0,58.1,27.9,14,225.0,74.4,20.9,4.7,73,79,76,86,84,78,70,65,86,73,83
2023,24318,ESCUELA PADRE ALBERTO HURTADO CRUCHAGA,Punta Arenas,4 básico,Región de Magallanes y de la Antártica Chilena,0.881873727087576,Urbano,553,Municipal,Medio bajo,71.0,74.0,77.0,66.0,247.0,44.7,25.5,29.8,236.0,57.8,37.8,4.4,68,73,76,77,68,71,59,68,81,72,77
2023,2804,ESC. MANUEL RODRIGUEZ ERDOIZA,Teno,4 básico,Región del Maule,0.942528735632184,Rural,188,Municipal,Medio bajo,83.0,79.0,86.0,76.0,281.0,7.7,61.5,30.8,266.0,41.7,41.7,16.7,82,84,86,92,80,77,71,76,85,78,81
2023,9674,ESCUELA BASICA ALAS DE AGUILA,SAN RAMÓN,4 básico,Región Metropolitana de Santiago,0.915492957746479,Urbano,146,Part. subvencionado,Medio bajo,75.0,72.0,78.0,72.0,259.0,42.9,35.7,21.4,245.0,42.9,50,7.1,72,78,75,77,70,78,68,67,78,71,81
2023,25562,ESC BASICA PART SAN JOSE DE LA FAMILIA,La Pintana,4 básico,Región Metropolitana de Santiago,0.872747747747748,Urbano,1475,Part. subvencionado,Medio bajo,75.0,77.0,79.0,72.0,274.0,22.2,35.4,42.4,256.0,39.4,43.3,17.3,74,76,80,80,72,78,67,69,82,79,78
2023,25562,ESC BASICA PART SAN JOSE DE LA FAMILIA,La Pintana,II medio,Región Metropolitana de Santiago,0.839237057220708,Urbano,1475,Part. subvencionado,Medio bajo,75.0,75.0,80.0,74.0,252.0,45.2,45.2,9.5,261.0,46.8,39,14.3,72,77,84,82,73,79,69,67,84,73,74
2023,6161,COLEGIO ALEMAN VILLARRICA,Villarrica,4 básico,,,,343,Particular pagado,Alto,74.0,86.0,82.0,71.0,335.0,4.3,8.7,87,326.0,4.2,12.5,83.3,73,75,89,81,69,84,59,77,91,88,77
2023,6161,COLEGIO ALEMAN VILLARRICA,Villarrica,II medio,,,,343,Particular pagado,Alto,83.0,83.0,84.0,72.0,304.0,0,38.9,61.1,276.0,29.4,41.2,29.4,82,83,86,84,71,82,63,77,87,84,83
2023,7071,ESCUELA RURAL LAGO AZUL,PANGUIPULLI,4 básico,Región de Los Ríos,1.0,Rural,63,Municipal,Bajo,79.0,87.0,80.0,75.0,307.0,«,«,«,256.0,«,«,«,77*,81*,82*,82*,69*,85*,72*,78*,93*,89*,76*
2023,16456,INSTITUTO CUMBRES DE MAULE,Parral,4 básico,Región del Maule,0.881188118811881,Rural,121,Part. subvencionado,Medio bajo,77.0,76.0,85.0,70.0,255.0,30,60,10,251.0,36.4,63.6,0,75,78,85,85,67,79,62,69,83,75,84
2023,1941,COLEGIO EL BELLOTO,Quilpué,4 básico,Región de Valparaíso,0.832116788321168,Urbano,680,Part. subvencionado,Medio,73.0,72.0,74.0,69.0,263.0,40.6,15.6,43.8,254.0,39.4,39.4,21.2,70,76,78,75,70,73,64,65,75,75,70
2023,1941,COLEGIO EL BELLOTO,Quilpué,II medio,Región de Valparaíso,0.804347826086957,Urbano,680,Part. subvencionado,Medio,73.0,73.0,77.0,62.0,235.0,62.5,25,12.5,251.0,50.8,45.9,3.3,70,76,78,79,58,65,62,68,78,71,74
2023,10372,ESCUELA PARTICULAR ISLA DE PASCUA,INDEPENDENCIA,4 básico,Región Metropolitana de Santiago,0.686695278969957,Urbano,337,Part. subvencionado,Medio,74.0,75.0,79.0,73.0,265.0,29.4,41.2,29.4,242.0,48.6,48.6,2.9,72,77,80,77,72,78,68,68,81,76,80
2023,3130,ESCUELA PEDRO ANTONIO TEJOS TEJOS,Empedrado,4 básico,Región del Maule,0.928571428571429,Rural,112,Municipal,Bajo,75.0,75.0,84.0,70.0,274.0,28.6,28.6,42.9,274.0,28.6,35.7,35.7,72,78,85,83,70,75,65,70,85,71,84
2023,5658,COMPLEJO EDUCACIONAL JAVIERA CARRERA,Temuco,II medio,Región de La Araucanía,0.89237668161435,Urbano,259,Part. subvencionado,Medio bajo,72.0,73.0,77.0,68.0,216.0,69.4,19.4,11.1,215.0,78,22,0,70,73,79,76,68,69,65,65,76,78,77
2023,22065,COLEGIO SAN FRANCISCO DE ASIS,CASTRO,4 básico,Región de Los Lagos,0.640564826700899,Urbano,1274,Part. subvencionado,Medio alto,76.0,76.0,80.0,72.0,284.0,14.4,34.4,51.1,273.0,21.6,48.9,29.5,75,78,82,83,72,76,68,72,82,75,74
2023,22065,COLEGIO SAN FRANCISCO DE ASIS,CASTRO,II medio,Región de Los Lagos,0.588888888888889,Urbano,1274,Part. subvencionado,Medio,74.0,70.0,77.0,66.0,229.0,63,28.8,8.2,240.0,59.3,32.1,8.6,73,76,76,79,64,70,64,67,76,66,76
2023,7203,ESCUELA OLEGARIO MORALES OLIVA,PAILLACO,4 básico,Región de Los Ríos,0.89058524173028,Urbano,469,Municipal,Medio bajo,78.0,78.0,81.0,73.0,265.0,30.3,48.5,21.2,256.0,31.3,53.1,15.6,76,80,80,80,74,79,67,71,86,78,82
2023,8661,ESCUELA PARTICULAR GUILLERMO MATTA,Santiago,4 básico,Región Metropolitana de Santiago,0.691823899371069,Urbano,861,Part. subvencionado,Medio alto,77.0,75.0,78.0,68.0,296.0,12.6,24.1,63.2,285.0,17.2,43.7,39.1,75,78,77,80,69,72,64,68,80,77,78
2023,13133,ESCUELA MANUEL RODRÍGUEZ,COPIAPÓ,4 básico,Región de Atacama,0.895161290322581,Urbano,313,Servicio local de educación,Medio,,,,,,«,«,«,,«,«,«,-,-,-,-,-,-,-,-,-,-,-
2023,25666,COLEGIO  INSTITUTO PASCAL,Providencia,4 básico,,,,263,Particular pagado,Alto,71.0,72.0,76.0,72.0,283.0,22.2,27.8,50,274.0,27.8,44.4,27.8,71,72,76,75,71,78,66,67,78,71,76
